system:index,Humidity,Latitude,Longitude,.geo
148,94.98607846447894,28.301423026185525,76.96316196694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96316196694,28.301423026185525]}"
149,94.98607846447894,28.301423026185525,76.9721451197812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9721451197812,28.301423026185525]}"
150,94.98607846447894,28.301423026185525,76.9811282726224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9811282726224,28.301423026185525]}"
151,94.98607846447894,28.301423026185525,76.9901114254636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9901114254636,28.301423026185525]}"
152,94.98607846447894,28.301423026185525,76.99909457830479,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99909457830479,28.301423026185525]}"
153,94.98607846447894,28.301423026185525,77.00807773114599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00807773114599,28.301423026185525]}"
154,94.98607846447894,28.301423026185525,77.01706088398718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01706088398718,28.301423026185525]}"
155,94.98607846447894,28.301423026185525,77.02604403682838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02604403682838,28.301423026185525]}"
156,94.98607846447894,28.301423026185525,77.03502718966956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03502718966956,28.301423026185525]}"
157,94.98607846447894,28.301423026185525,77.04401034251076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04401034251076,28.301423026185525]}"
158,95.09565031769003,28.301423026185525,77.05299349535196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05299349535196,28.301423026185525]}"
159,95.09565031769003,28.301423026185525,77.06197664819315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06197664819315,28.301423026185525]}"
160,95.09565031769003,28.301423026185525,77.07095980103435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07095980103435,28.301423026185525]}"
161,95.09565031769003,28.301423026185525,77.07994295387554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07994295387554,28.301423026185525]}"
162,95.09565031769003,28.301423026185525,77.08892610671674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08892610671674,28.301423026185525]}"
163,95.09565031769003,28.301423026185525,77.09790925955794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09790925955794,28.301423026185525]}"
164,95.09565031769003,28.301423026185525,77.10689241239913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10689241239913,28.301423026185525]}"
165,95.09565031769003,28.301423026185525,77.11587556524033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11587556524033,28.301423026185525]}"
166,95.09565031769003,28.301423026185525,77.12485871808153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12485871808153,28.301423026185525]}"
167,95.09565031769003,28.301423026185525,77.13384187092272,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13384187092272,28.301423026185525]}"
168,95.09565031769003,28.301423026185525,77.14282502376392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14282502376392,28.301423026185525]}"
169,95.18434898273965,28.301423026185525,77.1518081766051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1518081766051,28.301423026185525]}"
170,95.18434898273965,28.301423026185525,77.1607913294463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1607913294463,28.301423026185525]}"
